"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","login","Default Suite","Sat Jul 19 21:53:17 BDT 2025","unknown","Sat Jul 19 21:53:17 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","doRegistration"
"","299","OngoingTab not visible Test","Default Suite","Sat Jul 19 21:56:14 BDT 2025","passed","Sat Jul 19 21:56:14 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","OngoingNotVisibility"
"","1679","Checked Mandatory and Optional Subject ","Default Suite","Sat Jul 19 21:57:16 BDT 2025","passed","Sat Jul 19 21:57:18 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","CheckedMandatoryOptionalSubject"
"","30619","LiveExamBanner Not visible Test","Default Suite","Sat Jul 19 21:54:51 BDT 2025","passed","Sat Jul 19 21:55:21 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","LiveExamBannerNotVisible"
"","1396","Check Exam Visibility ","Default Suite","Sat Jul 19 21:57:11 BDT 2025","passed","Sat Jul 19 21:57:12 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","ExamVisibleCheck"
"","85","Ongoing live Exam status labels Matched Test","Default Suite","Sat Jul 19 21:57:11 BDT 2025","passed","Sat Jul 19 21:57:11 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","testStatusLabelOfExam"
"","438","AllTabOrder Not Matched Test ","Default Suite","Sat Jul 19 21:56:13 BDT 2025","passed","Sat Jul 19 21:56:13 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","TabOrderNotChecked"
"","2091","title, marks,dateTime and status Not Matched","Default Suite","Sat Jul 19 21:57:12 BDT 2025","passed","Sat Jul 19 21:57:15 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","TitleMarkNotMatchedsRunningExam"
"","56200","Ongoing live all exam Order visible or not Test","Default Suite","Sat Jul 19 21:56:15 BDT 2025","passed","Sat Jul 19 21:57:11 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","printAllOngoingExams"
"","1328","title, marks,dateTime and status Matched","Default Suite","Sat Jul 19 21:57:15 BDT 2025","passed","Sat Jul 19 21:57:16 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","TitleMarksdateTimeandstatusMatchedRunningExam"
"","86472","login","Default Suite","Sat Jul 19 21:53:24 BDT 2025","passed","Sat Jul 19 21:54:51 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","dologin"
"","671","OngoingTab visible Test","Default Suite","Sat Jul 19 21:56:14 BDT 2025","passed","Sat Jul 19 21:56:15 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","OngoingVisibility"
"","1758","StartExam","Default Suite","Sat Jul 19 21:57:18 BDT 2025","passed","Sat Jul 19 21:57:19 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","StartExam"
"","51410","LiveExamBanner visibleTest ","Default Suite","Sat Jul 19 21:55:21 BDT 2025","passed","Sat Jul 19 21:56:13 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","LiveExamBannerVisible"
"","496","AllTabOrder matched Test ","Default Suite","Sat Jul 19 21:56:13 BDT 2025","passed","Sat Jul 19 21:56:14 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","TabOrderChecked"
"","4","Ongoing live Exam status labels Not Matched Test","Default Suite","Sat Jul 19 21:57:11 BDT 2025","passed","Sat Jul 19 21:57:11 BDT 2025","TestRunner.testRunnerLiveExam","QAAutomation_Brritto_App","TestRunner.testRunnerLiveExam","testStatusLabelOfExamNotMatched"
